Country,GDP,Population,Enjoyment,Well-Rested,Learned,Smiled,Respect,Positive Emotions Index
Afghanistan,2092.87995224662,42239854,33.0,46.0,17.0,28.0,67.0,38.2
Albania,21395.3250372633,2745972,68.0,65.0,35.0,74.0,92.0,66.8
Argentina,29362.6924187322,46654581,79.0,70.0,54.0,82.0,94.0,75.8
Armenia,23054.6005230691,2777970,60.0,50.0,42.0,68.0,96.0,63.2
Australia,69114.7378945066,26638544,79.0,66.0,63.0,76.0,91.0,75.0
Austria,73751.35270638,9132383,79.0,77.0,62.0,72.0,89.0,75.8
Azerbaijan,23685.5386398553,10112555,50.0,57.0,40.0,60.0,86.0,58.6
Bahrain,63847.8297282665,1485509,67.0,73.0,54.0,79.0,92.0,73.0
Bangladesh,9065.69893428451,172954319,58.0,65.0,17.0,55.0,86.0,56.2
Belgium,70455.9584257956,11822592,77.0,64.0,61.0,79.0,93.0,74.8
Benin,4248.31081739622,13712828,48.0,57.0,56.0,68.0,80.0,61.8
Bolivia,10726.9988078303,12388571,77.0,70.0,64.0,80.0,94.0,77.0
Bosnia and Herzegovina,22845.5185486781,3210847,66.0,58.0,46.0,58.0,91.0,63.8
Botswana,19383.17259582,2675352,64.0,70.0,56.0,76.0,90.0,71.2
Brazil,20584.4191661579,216422446,72.0,64.0,58.0,76.0,95.0,73.0
Bulgaria,38689.5480749166,6430370,62.0,63.0,37.0,58.0,87.0,61.4
Burkina Faso,2726.94230998002,23251485,68.0,64.0,52.0,71.0,74.0,65.8
Cambodia,5624.13751533076,16944826,79.0,69.0,45.0,81.0,78.0,70.4
Cameroon,5380.15888999578,28647293,54.0,63.0,53.0,69.0,80.0,63.8
Canada,61582.3499713265,40097761,80.0,65.0,62.0,75.0,91.0,74.6
Chad,1969.30313518073,18278568,53.0,61.0,49.0,59.0,64.0,57.2
Chile,33284.4947338649,19629590,85.0,76.0,65.0,83.0,97.0,81.2
China,24557.6389534489,1410710000,84.0,78.0,59.0,70.0,82.0,74.6
Colombia,21548.0133685917,52085168,78.0,76.0,63.0,82.0,98.0,79.4
Comoros,3854.78878468884,852075,64.0,54.0,30.0,63.0,73.0,56.8
Costa Rica,27952.4766235187,5212173,86.0,75.0,69.0,86.0,97.0,82.6
Cote d'Ivoire,7790.85551957628,28873034,65.0,68.0,60.0,76.0,84.0,70.6
Croatia,45909.6344841758,3853200,55.0,68.0,48.0,60.0,75.0,61.2
Cyprus,57100.46484375,1260138,73.0,56.0,52.0,75.0,90.0,69.2
Czech Republic,53816.8033895232,10873689,84.0,60.0,58.0,80.0,92.0,74.8
Democratic Republic of the Congo,1670.84721852628,102262808,52.0,60.0,49.0,62.0,73.0,59.2
Denmark,76687.9028437306,5946952,86.0,70.0,65.0,76.0,93.0,78.0
Dominican Republic,25610.5118658401,11332972,70.0,73.0,64.0,83.0,95.0,77.0
Ecuador,15870.2617020335,18190484,79.0,73.0,66.0,82.0,93.0,78.6
Egypt,18816.5055922135,112716598,44.0,50.0,26.0,60.0,95.0,55.0
El Salvador,12542.3090140573,6364943,81.0,76.0,73.0,88.0,96.0,82.8
Estonia,48992.1409511815,1366188,84.0,69.0,67.0,75.0,93.0,77.6
Eswatini,11740.8152773294,1210822,74.0,65.0,53.0,81.0,86.0,71.8
Ethiopia,3109.2765123205,126527060,63.0,52.0,33.0,66.0,62.0,55.2
Finland,65060.674161832,5584264,72.0,67.0,69.0,74.0,92.0,74.8
France,61156.7728192566,68170228,75.0,70.0,61.0,67.0,91.0,72.8
Gabon,21946.990852956,2436566,55.0,71.0,59.0,72.0,83.0,68.0
Gambia,3162.50679759518,2773168,72.0,71.0,59.0,82.0,79.0,72.6
Georgia,24681.2505951416,3760365,64.0,56.0,33.0,64.0,97.0,62.8
Germany,69338.2932264467,84482267,77.0,75.0,62.0,73.0,89.0,75.2
Ghana,7466.36688860441,34121985,47.0,71.0,56.0,88.0,89.0,70.2
Greece,41186.8122027894,10361295,66.0,53.0,48.0,68.0,88.0,64.6
Guatemala,14066.5117902708,17602431,88.0,80.0,75.0,89.0,95.0,85.4
Guinea,4429.34356555152,14190612,63.0,64.0,63.0,69.0,84.0,68.6
Honduras,7210.68927751264,10593798,77.0,73.0,65.0,85.0,95.0,79.0
